type,sample_id,ubicacion,edad,replicate,ic50,ic50_low,ic50_up,method,status
Muestra,A-0,Talag,0,1,14.549497008465432,11.752737470022211,16.998265828646378,nlsLM,ok
Muestra,A-0,Talag,0,2,NA,NA,NA,nlsLM,pocos_puntos
Muestra,A-2,Talag,1,1,49.26493538692335,13.135928469187695,73.26443825995042,nlsLM,ok
Muestra,A-2,Talag,1,2,49.893714687583056,13.362635082325873,74.57858408965899,nlsLM,ok
Muestra,A-2,Talag,1,3,51.93598521235103,16.120779151382955,77.02618852489427,nlsLM,ok
Muestra,B-0,Alto Pano,0,1,19.081589077015,16.1007704395231,21.669352064726784,nlsLM,ok
Muestra,B-0,Alto Pano,0,2,4996528431151632e3,NA,NA,nlsLM,ok
Muestra,B-0,Alto Pano,0,3,3.5605651737776957e+18,NA,NA,nlsLM,ok
Muestra,B-2,Alto Pano,1,1,21.992783307969827,19.281377544713525,24.507186947291725,nlsLM,ok
Muestra,B-2,Alto Pano,1,2,21.58288383541463,19.307174225461903,23.7096194289933,nlsLM,ok
Muestra,B-2,Alto Pano,1,3,21.062033633367164,19.10147377767732,22.897699664974336,nlsLM,ok
Muestra,C-0,Alto Tena,0,1,99.72741522051159,NA,NA,nlsLM,ok
Muestra,C-0,Alto Tena,0,2,95.61737358826694,NA,NA,nlsLM,ok
Muestra,C-0,Alto Tena,0,3,74.53136807341377,35.64565108303877,220.7312139414805,nlsLM,ok
Muestra,C-2,Alto Tena,1,1,26.382610934670183,19.416145405808376,32.99193925566898,nlsLM,ok
Muestra,C-2,Alto Tena,1,2,27.02626379816012,21.327727717382018,32.63185690972693,nlsLM,ok
Muestra,C-2,Alto Tena,1,3,25.688323380166523,18.837691314600132,32.025855512373866,nlsLM,ok
Trolox,Trolox,NA,NA,1,4.630805637650033,3.551672137536837,5.68508751082819,nlsLM,ok
Trolox,Trolox,NA,NA,2,4.803689782361207,3.938518586567727,5.658441549449801,nlsLM,ok
Trolox,Trolox,NA,NA,3,5.196214252856446,NA,NA,nlsLM,ok
